name	lat	lon	address	website	boulder	toprope	lead	autobelay	moonboard	kilter	tension
Fit Bloc (Kent Ridge)	1.287811988848755	103.79049099997037	87 Science Park Dr, #03-02 The Oasis, Singapore 118260	http://fitbloc.com/	true	false	false	true	true	false	false
Fit Bloc (Depot Heights)	1.2813030919109658	103.81012986018324	108 Depot Rd, #02-01 Depot Heights Shopping Centre, Singapore 100108	http://fitbloc.com/	true	false	false	false	true	false	false
Ground Up Climbing	1.3158243634749043	103.85618277234092	60 Tessensohn Road CSC@Tessensohn (Level 2, Singapore 217664	https://www.groundupsg.com/	true	true	true	true	false	false	false
Boulder World	1.319121618256859	103.89480707273692	10 Eunos Rd 8, #01-205 SingPost Centre (Enrichment Zone, Singapore 408600	https://www.boulderworld.com/	true	false	false	false	true	true	true
Climb Central Sports Hub	1.3027047134696599	103.87352185797776	#B1-01 Kallang Wave Mall, 1 Stadium Place, Singapore 397628	https://www.climbcentral.sg/	true	true	true	true	false	false	false
Climb Central Novena	1.320512383876229	103.84380217567147	238 Thomson Rd, #03-23/25, Singapore 307683	http://www.climbcentral.sg/	true	true	false	true	false	false	false
Climb Central Funan	1.2911343618509064	103.85014996499673	107 North Bridge Rd, #B2-19/21 Funan, Singapore 179105	https://www.climbcentral.sg/	true	true	true	true	false	true	false
Climb Central Katong	1.3052001999408982	103.90506181759399	E Coast Rd, #04-01/02 112, Singapore 428802	https://www.climbcentral.sg/	false	true	true	true	false	false	false
The Cliff @ SnowCity	1.3353148371105683	103.73526467882493	21 Jurong Town Hall Rd, Singapore 609433	http://www.snowcity.com.sg/about-us/the-cliff/	false	true	true	false	false	false	false
The Rock School - Our Tampines Hub	1.353981439390928	103.94029598475602	Our Tampines Hub, 1 Tampines Walk, #02-81, Singapore 528523	http://therockschool.sg/	true	true	true	true	false	false	false
The Rock School - Bedok CC	1.324277198417184	103.9360490156992	850 New Upper Changi Rd, Singapore 467352	https://www.kidscanclimb.com/	true	true	false	true	false	false	false
HomeTeamNS Clip 'N Climb	1.3529676229644891	103.9403444954709	1 Tampines Walk, #03-03, Singapore 528523		false	true	false	true	false	false	false
Lighthouse Climbing	1.2749773719292379	103.7943444787433	44 Pasir Panjang Road #B-02, Singapore 118504	http://www.lighthouseclimbing.com/	true	false	false	false	true	true	true
Kinetics Climbing	1.3146264757069424	103.85734793388599	511 Serangoon Rd, Singapore 218153	http://www.kineticsclimbing.com.sg/	true	true	false	false	false	false	false
OYEYO Boulder Home	1.307216148264436	103.84677295158501	148 Mackenzie Rd, Singapore 228724	https://www.oyeyoboulderhome.com/	true	false	false	false	false	false	false
T-Hall.sg	1.304740336075827	103.86221463155591	464 Crawford Ln, #01-464, Singapore 190464	https://linktr.ee/thallsg	true	true	true	true	false	false	false
Upwall Climbing	1.3764546535329993	103.95569712194897	1 Pasir Ris Close, E!Hub@Downtown East, #01-105, Singapore 519599	http://www.upwallclimbing.sg/	false	true	true	true	false	false	false
Arete (By Upwall)	1.3350889463965616	103.96356832967874	5 Changi Business Park Central 1, #02 14/15/16, Singapore 486038	http://www.upwallclimbing.sg/	true	false	false	false	false	false	false
Boulder Movement Tai Seng	1.3364056502876118	103.88833970233866	18 Tai Seng St, #01-09, Singapore 539775	http://www.boulderm.com/	true	false	false	false	false	false	false
Boulder Movement Bugis	1.2993712865180695	103.85424850589465	201 Victoria St, #05 - 07, Singapore 188067	http://www.boulderm.com/	true	false	false	true	true	false	false
Boulder Movement Rochor	1.3050625426883113	103.85142602524351	2 Serangoon Rd, #02-12 Tekka Place, Singapore 218227	https://www.boulderm.com/	true	false	false	false	false	true	false
Boulder Movement Suntec	1.296084473831245	103.85844964645821	3 Temasek Boulevard 01-484/485/486 Suntec City Mall, North Wing, Tower One, Singapore 038983	http://www.boulderm.com/	true	false	false	false	false	false	false
Boulder Movement Downtown	1.2780659071413991	103.84920884233823	6A Shenton Way, #B1-03 Downtown Gallery, Singapore 068815	https://www.boulderm.com/	true	false	false	false	false	false	false
Verticlimb	1.3211291692357425	103.7468781019181	200 Pandan Gardens, #01-02, Singapore 609336	http://www.singaporerockclimbing.com/	false	true	false	false	false	false	false
Boys' Town Adventure Centre	1.3696841317818442	103.76748819076512	624 Upper Bukit Timah Rd, Singapore 678212	https://www.boystown.org.sg/adventure-centre/	true	true	true	false	false	false	false
